,MI_Score
F2955,0.002375429728178391
F1500,0.002373122186075438
F3069,0.0023643021117739638
F3534,0.002363344841456505
F1384,0.0023627518661264446
F3489,0.0023595533984289707
F234,0.0023566162853797534
F1108,0.002355032094328968
F2018,0.0023517558128173244
F3680,0.002351460048293341
F263,0.0023507849519671664
F3583,0.0023458773091167284
F3919,0.002345669235940595
F2179,0.00234534281466936
F3681,0.0023453264487703906
F2181,0.0023431788389312036
F1433,0.002342153925560808
F272,0.0023409774525570137
F3857,0.0023372008506512554
F2142,0.0023359269174776376
F1747,0.0023353116751018144
F1101,0.0023266014765873644
F3579,0.0023176679082187457
F520,0.002317616799271782
F2951,0.0023151936638998727
F1420,0.0023133483373768415
F3000,0.0023128653376044417
F1488,0.0023115934261458415
F981,0.0023093793653354844
F1258,0.002309308838705837
F2998,0.002305764188825332
F2146,0.0022907783454259034
F228,0.002289937000141129
F1174,0.0022837532547038686
F1378,0.0022832522216031936
F1390,0.0022815585392902404
F2158,0.0022807434995800735
F2038,0.002277527357352316
F528,0.0022771727937307418
F1521,0.0022731449323682984
F113,0.0022670219698504024
F3067,0.0022603562499131646
F3501,0.002260068019493966
F1898,0.0022543907356524784
F231,0.0022542217110820273
F24,0.002254105014574903
F2062,0.0022527046661870997
F958,0.002250240296297834
F625,0.002249469574086227
F3058,0.002249345132733449
F3536,0.0022461982750361376
F2842,0.0022433888495773102
F2141,0.0022367899641544398
F1548,0.0022358946354423814
F1034,0.002235237447393512
F3787,0.0022349435161492792
F3841,0.002230773697332711
F1637,0.002223706326538899
F2953,0.0022233418503888602
F1760,0.002221123684775561
F960,0.002212979540115234
F365,0.0022118224515189633
F2965,0.0022051548313570812
F927,0.0021980026338256353
F2078,0.0021955339552824915
F3548,0.0021950473354710454
F778,0.0021923866046617
F461,0.0021913987127369916
F1816,0.002190488886017583
F1124,0.0021849050389217695
F3505,0.0021848512498471306
F1430,0.0021807448560222653
F2147,0.002180477471553699
F2776,0.002172903705803031
F3606,0.002172743687961609
F3810,0.0021647449672907992
F1216,0.0021568509742414532
F124,0.0021508168329383848
F1594,0.0021478913951494816
F1067,0.0021478784373982762
F3835,0.002146410532315568
F1701,0.0021459026207119036
F2260,0.002143497562065444
F2958,0.00214312422847851
F1326,0.0021406631123392916
F3535,0.002138171078424178
F3651,0.002136769905208391
F2786,0.0021353763255099745
F2841,0.0021268746804008476
F427,0.002125871554771952
F1364,0.002124533724249811
F2485,0.0021215954666367054
F1519,0.00211948662187722
F1435,0.00211013139329852
F1367,0.0021094610901934985
F2014,0.002109362376510715
F1099,0.002108258280275943
F1795,0.0021078300804646677
F2131,0.0021071678414796846
F2956,0.0021053599701481573
F2293,0.002100331438269598
F2088,0.002099940136680689
F3842,0.0020998693205435126
